"""table_name"",""column_name"""
"custpymt,""createdby"""
"custpymt,""daysopen"""
"custpymt,""exchangerate"""
"custpymt,""foreignpaymentamountunused"""
"custpymt,""foreignpaymentamountused"""
"custpymt,""foreigntotal"""
"custpymt,""isbookspecific"""
"custpymt,""isfinchrg"""
"custpymt,""isreversal"""
"custpymt,""iswip"""
"custpymt,""lastmodifiedby"""
"custpymt,""nexus"""
"custpymt,""number"""
"custpymt,""ordpicked"""
"custpymt,""outsourced"""
"custpymt,""paymenthold"""
"custpymt,""posting"""
"custpymt,""postingperiod"""
"custpymt,""printedpickingticket"""
"custpymt,""recordtype"""
"custpymt,""trandisplayname"""
"custpymt,""transactionnumber"""
"custpymt,""type"""
"custpymt,""typebaseddocumentnumber"""
"custpymt,""userevenuearrangement"""
"custpymt,""visibletocustomer"""
"custpymt,""void"""
"custpymt,""voided"""
"inventorybalance,""links"""
"inventorybalance,""binnumber"""
"inventorybalance,""committedqtyperlocation"""
"inventorybalance,""committedqtyperseriallotnumber"""
"inventorybalance,""committedqtyperseriallotnumberlocation"""
"inventorybalance,""createddate"""
"inventorybalance,""inventorynumber"""
"inventorybalance,""inventorystatus"""
"inventorybalance,""item"""
"inventorybalance,""lastmodifieddate"""
"inventorybalance,""location"""
"inventorybalance,""quantityavailable"""
"inventorybalance,""quantityonhand"""
"inventorybalance,""quantitypicked"""
"item,""links"""
"item,""autoleadtime"""
"item,""autopreferredstocklevel"""
"item,""autoreorderpoint"""
"item,""averagecost"""
"item,""billexchratevarianceacct"""
"item,""billpricevarianceacct"""
"item,""billqtyvarianceacct"""
"item,""copydescription"""
"item,""costcategory"""
"item,""createddate"""
"item,""createjob"""
"item,""custitem_prompt_payment_discount_item"""
"item,""deposit"""
"item,""enforceminqtyinternally"""
"item,""expenseaccount"""
"item,""froogleproductfeed"""
"item,""fullname"""
"item,""generateaccruals"""
"item,""id"""
"item,""includechildren"""
"item,""isdropshipitem"""
"item,""isfulfillable"""
"item,""isinactive"""
"item,""islotitem"""
"item,""isonline"""
"item,""isphantom"""
"item,""isserialitem"""
"item,""isspecialorderitem"""
"item,""itemid"""
"item,""itemtype"""
"item,""lastmodifieddate"""
"item,""lastpurchaseprice"""
"item,""manufacturingchargeitem"""
